id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9600137,Nice brightly Apartment in Berlin-Schöneberg 50 qm,35533514,Jamila,Tempelhof - Schöneberg,Friedenau,52.46709739092675,13.344515662179663,Entire home/apt,28,5,3,2016-04-06,0.09,2,0
9603273,Schönes Zimmer mit sonnigem Balkon,7869829,Alexis,Neukölln,Reuterstraße,52.48463195857736,13.441569449013633,Private room,50,2,3,2017-02-13,0.09,1,0
9605765,Beautiful huge room in the coolest area,22921453,Catalin,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.496763459993325,13.429811241796813,Private room,27,3,0,,,5,0
9606196,Apartment in center Neukölln for September,26434588,Alexandra,Neukölln,Rixdorf,52.47835529021251,13.43974053230724,Private room,35,1,6,2016-09-25,0.18,1,0
9606268,ruhige 2-Raum-Wohnung in F`hain,49706106,Nico,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51129914879964,13.474015110410656,Entire home/apt,25,1,1,2015-11-27,0.03,1,0
9606416,Sunny room with private balcony,999330,Josefine,Tempelhof - Schöneberg,Tempelhof,52.46446728054868,13.374677374418669,Private room,18,1,4,2018-09-04,0.11,4,0
9607983,big studentshome in the centre | K2,4032095,Heinz,Mitte,Regierungsviertel,52.511359438803375,13.38244841989174,Entire home/apt,51,90,3,2018-02-24,0.13,15,281
9609423,Möbliertes 20m² Zimmer,49721186,Christian,Neukölln,Rixdorf,52.47372271074926,13.453302752067856,Private room,17,1,0,,,1,0
9610228,Lovely central room in Berlin-Mitte,19091012,Marianna,Mitte,Wedding Zentrum,52.555965581377016,13.382072187555227,Private room,28,3,4,2016-09-01,0.12,1,0
9618882,FAMILY / friends or couple! LOFT:  2 floors -  HIP,49764282,Chris,Pankow,Helmholtzplatz,52.54394954038522,13.423541864255306,Entire home/apt,59,2,7,2018-05-06,0.21,1,0
9619851,Nice apartment fully equipped Xmas,21475228,Eva,Neukölln,Rixdorf,52.47212327026937,13.450573988152335,Entire home/apt,80,5,1,2016-01-03,0.03,1,0
9620858,Cozy Apartment for 2,49771951,Sören,Mitte,Osloer Straße,52.55604205224896,13.38686263857957,Entire home/apt,69,3,32,2017-08-20,0.96,1,0
9623618,Beautiful with garden in p-berg,148883,Ella,Pankow,Helmholtzplatz,52.545613678272936,13.41902294329257,Entire home/apt,40,8,2,2016-05-01,0.06,1,0
9625219,"Quiet, modern room in Kreuzberg",49788899,Kieran,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50062041254981,13.428405135092811,Private room,25,4,0,,,1,0
9625526,Stylish & Hip Flat Room - Kreuzberg,49790112,Valentin,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50071816484762,13.439008332990392,Private room,25,10,2,2016-01-03,0.06,1,0
9626172,3-room Apartment with terrace,2293972,Philipp,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51745106138638,13.467583361653174,Entire home/apt,99,1,172,2018-10-20,4.8,30,339
9626182,Rooftop-Apartment with two balconies,17702404,Jelena,Tempelhof - Schöneberg,Schöneberg-Süd,52.48849197114717,13.349509578493036,Entire home/apt,70,14,4,2018-07-27,0.23,1,0
9627915,Spacious room in Friedrichshain,10175519,Jessica,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.505886982427725,13.468129804150246,Private room,35,2,1,2017-01-03,0.04,1,0
9630720,Lovely Home in Berlin-Neukölln,19248216,Anne,Neukölln,Reuterstraße,52.48268123703035,13.43780481910132,Entire home/apt,27,5,2,2017-12-18,0.06,1,137
